# artes do catalogo de jogos do Astra - titulo -> id do aplicativo + hash do icone
# destilado de https://discord.com/api/v9/applications/detectable
# 10363 entradas - instantaneo de 2026-09-07
# a imagem chega pela API do Astra, nunca direto do CDN do Discord
8-Bit Invaders!	1124360588714328064	e25b74c3e1198e669d85f5cee356bf8e
9 Days	1218936911188590592	7d57e5bd5bd121f050065e1a1ea7f992
9 Kings	1375820768616648795	950a02b00df6e4cb84a0a260cad390c2
9 Years of Shadows	1282566208209813535	7575ecbde44266212fc7c49ceb5e3921
911 Operator	481103865559908372	ec792c5b9abce05d9102b8742d712487
911: First Responders	1124357830837813258	f7e13a2a83c611c44996d454f79ff239
98xx	1467006967280308430	0107bd5610a7e1089eb76eb74c85b3e5
9-Bit Armies: A Bit Too Far	1231650679119155231	e9d31fbe91e77cd30425203be3ce212d
9Dragons	504399459426369587	e70e4e6205ba9e56870cc6ebaaad0842
9th Dawn Remake	1292124374736044032	468d27d8ca5a9e2afa9c96844d125b38
A Bird Story	1124356448319701046	cc99bb659cd1104382d645946ca296b4
A Building Full of Cats	1124356803912814682	6678561fc628ad48a30ca7bb6697c1d4
A Castle Full of Cats	1124358624521760858	a8ac2b37ad11b69b292bc5bc4ec1e31a
A Dance of Fire and Ice	1129504116796837939	4aef30599ed414fd961a321bc7274aa2
A Date with Death	1183136060226678834	f2b92b27f93ee91f77c48bffce2d60fb
A Day Out	1215841505013403748	28542cbbfa486c292ea90b159fddf719
A Difficult Game About Climbing	1215509318305325078	d0e9d870c4f766001b437a7d45b5b3d1
A Few Quick Matches	1402426004810502336	2665187016a2d2db2f4ffd5f35be6173
A Fisherman's Tale	1350513955520380999	e66ec18b9aafc32c9cf4d5018a8ab343
A Game About	1124357782947250216	d60b12a99a62450a715c5e029ea3ab3e
A Game About Digging A Hole	1337513254192283719	3d1f566f10c83910a40c69d0fed5a401
A Game of Thrones: The Board Game - Digital Edition	1124355518606094477	9f2d62055eb5b956c85f4f5e713d03ff
A Gentlemen's Dispute	1419201552895447140	4d9aba701dca553bbcbcb96e10fc16ad
A Good Snowman is Hard to Build	1124358636177735770	fb1004d376a815984fe89ba6d384546f
A Hat in Time	1402417856599162940	b41511fc33860de48bc2baf0439ea1e6
A Kiss for the Petals - Remembering How We Met	496521775161671734	47832feb5e0fee06d7de865160394661
A Legionary's Life	1124357421981253823	8dd5ca3e1f7e8a240b70121acb536d33
A Little to the Left	1124352521633280020	b4bdd203e7f4309702bb9bed4306da31
A Monster's Expedition	1129505926441881620	f1df1360dddcb5c049a5404d5285bbfc
A Mortician's Tale	1124360112857956464	5224204951f39f01afd1b239c3f0a706
A New Beginning: Final Cut	425455073661812766	f23b3ecdcb1dffdc4d392ab107452e24
a new life.	1124358559317119017	b292bd27454e87017badc5358ebbd1e8
A Night In Berlin	1124359905478979584	0e4e893c357c9e53ad55772332e5aeff
A Normal Lost Phone	1124357536368308325	c37996ab7bd619eddb399ce188e0d255
A Park Full of Cats	1284347942047711385	6733521e1eeb2ac9ee8370857f3fa0a0
A Place, Forbidden	1124359292045242539	08459e14e4cb4b33a9d431120612898d
A Plague Tale: Innocence	1124352124097155164	1b4b527a15ce42ce24e1b722da37174d
A Plague Tale: Requiem	1124355056964219010	d356a49bd56c1ef953c9175a1bc6af69
A Quiet Place: The Road Ahead	1297348619136929833	6f788d9581656c18e51b88bff6bebcce
A Raven Monologue	1124360182349181039	15caa32bcb41a8a9751427ae9dda2237
A Shelter Full of Cats	1350664946563813407	f75df87edca08df9e6ca8ff2cb03ad32
A Short Hike	1124352914157220000	466e86c376255d6c8dcb7f1bd5395c1f
A Sky Full of Stars	496523213778583553	c3946397f5736e7dbe2057bee4c1411f
A Space for the Unbound	1224750232244457573	a6ee7d4cc269da092b0a0bc4f2480f9c
A Story About Farting	1379323842467598397	2ec1b9c4fa5a88adac972e86551eb96e
