"fase","processo","cpu_pct","ram_mb"
"parado","Astra","1,9","455"
"parado","ffmpeg","0","0"
"em_call","Astra","2,3","470"
"em_call","ffmpeg","0","0"
"transmitindo","Astra","11,4","87"
"transmitindo","ffmpeg","4,5","35"
