"fase","processo","cpu_pct","ram_mb"
"parado","Astra","2,4","433"
"parado","ffmpeg","0","0"
"em_call","Astra","3,3","155"
"em_call","ffmpeg","0","0"
"transmitindo","Astra","13,8","500"
"transmitindo","ffmpeg","4,2","139"
